url,imagen,alquiler,expensas,ubicacion,m2_total,m2_cubiertos,ambientes,banos,cocheras,dormitorios,antiguedad,disposicion,orientacion,luminosidad,descripcion,direccion,ciudad,distrito
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-en-godoy-cruz-57109074.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/57/10/90/74/1200x1200/1999404596.jpg?isFirstImage=true,550000.0,,"33 Orientales, Godoy Cruz, Mendoza",60.0,50.0,2.0,1.0,1,1.0,0.0,,,,"INSA PROPIEDADES OFRECE DEPARTAMENTO EN ALQUILER EN GODOY CRUZ. Ubicado: Calle 33 Orientales, Godoy Cruz – Excelente ubicación Características: Primer piso por escalera 2 ambientes 1 dormitorio 1 baño completo Living comedor Pequeño balcón con lavandería Cochera incluida Complejo cerrado Ideal para quienes buscan comodidad, practicidad y buena ubicación en Godoy Cruz. Actualización cuatrimestral por índice IPC Consultame para más información o coordinar una visita. NO SE ACEPTAN MASCOTAS. INSA PROPIEDADES MATRICULA 1836/1960",33 Orientales,godoy cruz,
https://www.zonaprop.com.ar/propiedades/clasificado/alclfcin-casa-en-alquiler-apto-profesional-juridico-salud.-57445125.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/57/44/51/25/1200x1200/2008397949.jpg?isFirstImage=true,1500000.0,,"Almirante Brown 500, General San Martín, Mendoza",350.0,350.0,,,0,,35.0,,,,"Corredor Responsable: Ana Laura Caparros CCPIM 1677 - Contacto: Carlos Panelo RE/MAX VENDIMIA OFRECE ALQUILER DE CASA EN SAN MARTIN APTO ESTUDIO JURIDICO Y/O PROFESIONALES DE SALUD,Mendoza. EN ESTA OPORTUNIDAD SE OFRECE CASA EN ALQUILER CON LA SIGUIENTE DISTRIBUCION: PLANTA BAJA: 4 HABITACIONES, 2 BAÑOS, COCINA, RECEPCION DE CLIENTES, JACUZZI, ESPACIO DE REHABILITACION. PLANTA ALTA: TERRAZA, SALA DE ESPERA, PRIVADO Y BAÑO. Por cualquier inquietud y para coordinar una visita, no dude en contactarnos. Víctor E. Montivero C.C.P.I.M 783 Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. RAU S.R.L. no ejerce el corretaje inmobiliario. El presente sitio web es una plataforma en donde cada oficina inmobiliaria independiente que contrata los servicios RE/MAX puede publicar las propiedades a su cargo. Cada oficina es de propiedad y gestión independiente, por lo que RAU S.R.L. no interviene en los datos de la publicación, en la operación inmobiliaria, ni en la confección y/o firma del boleto de compraventa y/o escritura y/o contrato de alquiler. En cumplimiento de las leyes vigentes que regulan el corretaje inmobiliario, Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes/gestores NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del corredor público inmobiliario colegiado a cargo de la publicación, cuyos datos se exhiben en la presente. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados.",Almirante Brown 500,san martin,
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-departamento-amoblado-ciudad-mendoza-57329878.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/57/32/98/78/1200x1200/2005475166.jpg?isFirstImage=true,450000.0,50000.0,"Garibaldi 100, Ciudad de Mendoza, Mendoza",32.0,32.0,1.0,1.0,0,,0.0,,,,"Corredor Responsable: VICTOR E. MONTIVERO CCPIM 783 - Contacto: Carlo Lauro ALQUILER DEPARTAMENTO AMOBLADO PLENO CENTRO CIUDAD Re/max ofrece en alquiler departamento ubicado en calle Garibaldi 142, pleno centro de la Ciudad de Mendoza. El complejo cuenta con solo 6 unidades, ofreciendo un entorno tranquilo y privado. Su ubicación es inmejorable: en el corazón de la ciudad, con acceso inmediato a universidades, comercios, bancos, supermercados, restaurantes, transporte público y todos los servicios que ofrece el centro mendocino. Ideal para estudiantes o quienes buscan practicidad y cercanía a todo. La unidad dispone de: - 1 dormitorio - 1 baño completo - Cocina con barra integrada al living-comedor - Superficie cubierta de aproximadamente 32 m² - Se alquila amoblado, con la posibilidad de alquilarlo sin muebles CONDICIONES DE ALQUILER - Contrato máximo 2 años - Actualización trimestral por IPC - Un garante con bono de sueldo o propiedad VALORES MENSUALES - Amoblado: 450.000 - Sin amoblar: 400.000 - Expensas: 50.000 RAU S.R.L. no ejerce el corretaje inmobiliario. El presente sitio web es una plataforma en donde cada oficina inmobiliaria independiente que contrata los servicios RE/MAX puede publicar las propiedades a su cargo. Cada oficina es de propiedad y gestión independiente, por lo que RAU S.R.L. no interviene en los datos de la publicación, en la operación inmobiliaria, ni en la confección y/o firma del boleto de compraventa y/o escritura y/o contrato de alquiler. En cumplimiento de las leyes vigentes que regulan el corretaje inmobiliario, Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes/gestores NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del corredor público inmobiliario colegiado a cargo de la publicación, cuyos datos se exhiben en la presente. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados.",Garibaldi 100,capital,
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-se-alquila-azcuenaga-y-elpidio-gonzalez-b-privado-57451260.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/57/45/12/60/1200x1200/2008543494.jpg?isFirstImage=true,550000.0,50000.0,"Azcuénaga y Elpidio González (Guaymallén, San Francisco del Monte, Mendoza",65.0,60.0,4.0,1.0,1,2.0,8.0,Frente,,Luminoso,"LP SERVICIOS INMOBILIARIOS ALQUILA En el hermoso Barrio Privado Rincon Veneto, se encuentra este encantador departamento en planta alta, con una ubicación privilegiada en la calle Azcuenaga y Elpidio Gonzalez, en San Francisco del Monte, Guaymallén. Este luminoso departamento cuenta con dos amplios dormitorios, un acogedor living, una cocina comedor totalmente equipada, un baño completo con ante baño, lavandería y una cómoda cochera. Además, podrás disfrutar de la comodidad de un aire acondicionado en todas las estancias. Con una antigüedad de 4 años y en excelente estado de conservación, este departamento ofrece una superficie cubierta de 60m2 y una superficie total de 65m2. Ideal para familias, este hogar se encuentra en una zona escolar y se aceptan mascotas (sujeto a consulta). El canon de alquiler es de $550,000 . Los contratos pueden ser por 1 o 2 años, con aumentos trimestrales o cuatrimestrales realizados por ICL. No pierdas la oportunidad de vivir en este hermoso departamento, ¡contáctanos para más información!",Azcuénaga y Elpidio González (Guaymallén,guaymallen,San Francisco del Monte
https://www.zonaprop.com.ar/propiedades/clasificado/alclbgin-rem-propiedades-alquila-galpon-en-rodeo-de-la-cruz-56053951.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/56/05/39/51/1200x1200/1971210025.jpg?isFirstImage=true,4024350.0,,"Desaguadero y Concordia, Rodeo de la Cruz, Mendoza",2500.0,1000.0,,2.0,0,,50.0,,,,"REM PROPIEDADES ALQUILA GALPON EN RODEO DE LA CRUZ, GUAYMALLEN, MENDOZA. UBICACION El galpón se encuentra sobre calle Desaguadero a 50 m de calle Concordia. Rodeo de la Cruz, Guaymallén, Mendoza. Beneficios de alquilar un galpón en esta zona: Ubicación estratégica: A metros del Acceso Este, ideal para logística, distribución o almacenamiento. Conectividad rápida: Acceso ágil a rutas nacionales y cercanía con el centro de Mendoza (25 minutos) Zona industrial y comercial: Entorno con presencia de talleres, depósitos y empresas, lo que favorece el movimiento comercial. SUPERFICIES Superficie total: 2500 m² Superficie cubierta: 1000 m² DESCRIPCION Planta baja: Un baño. Planta alta: Un departamento / oficina con tres ambientes, cocina y baño. OPCIONAL: USD 500 Cuenta además con un departamento. Cocina comedor. Dos dormitorios o privados. Un baño. Amplios espacios de maniobra: Ideal para camiones y vehículos de carga. Cuenta con cámaras de seguridad. Dos portones de ingreso (Uno automatizado) Lavadero, con cisterna y bomba. Antigüedad: 50 años PLAZO DE ALQUILER 2 / 3 años. VALOR: USD 2.700.- El precio publicado NO incluye IVA. REQUISITOS: Solicitante con ingresos demostrables. Garantes con bono y propiedad. O seguro de caución. ::: A la firma del contrato se abona alquiler, mes de deposito, comisión inmobiliaria y certificación de firmas. ::: Aumento semestral (ICL) Su consulta nos interesa. REM / Real Estate Mendoza. Mat. 1712",Desaguadero y Concordia,la paz,Desaguadero
https://www.zonaprop.com.ar/propiedades/clasificado/alcllcin-local-comercial-en-chacras-de-coria-57057845.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/57/05/78/45/1200x1200/1997934734.jpg?isFirstImage=true,1500000.0,,"Darragueira al 6800, Chacras de Coria, Mendoza",350.0,350.0,,2.0,0,,30.0,,,,"FRANCHI INMOBILIARIA ALQUILA LOCAL COMERCIAL en zona estrategica de Chacras de Coria. Luján de Cuyo. Se ubica sobre reconocida calle Darragueira, en complejo de locales gastronómicos. Se alquila local comercial de amplias dimensiones en el corazón de Chacras de Coria. Zona comercial con variedad de rubros. Consta de amplio salón, cocina con barra. Dos baños. Entrepiso. Dos cámaras frigorífica, para vinos y mercadería. Cuenta con estacionamiento propio. No paga expensas, solamente un proporcional de municipalidad y agua. Requiere reacondicionamiento en varios sectores, conexión eléctrica y de gas para habilitación.",Darragueira al 6800,lujan de cuyo,Chacras de Coria
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-un-dormitorio-a-m-de-peatonal-sarmiento-52441298.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/52/44/12/98/1200x1200/1883862328.jpg?isFirstImage=true,400000.0,120000.0,"San Martin 1074, Ciudad de Mendoza, Ciudad de Mendoza, Mendoza",51.0,51.0,2.0,1.0,0,1.0,50.0,Contrafrente,,Luminoso,"Se alquila este ubicadísimo departamento de un dormitorio en calle San Martin 1074 de Ciudad casi Peatonal Sarmiento, esta en un 2 piso, el edificio cuenta con ascensor. Esta desarrollado en un amplio living comedor, cocina separada y habitación con acceso desde un pasillo que divide la parte intima del baño y ingreso al dormitorio. Expensas $120.000 Disponible a partir de Noviembre 2025",San Martin 1074,san martin,
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-57422842.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/57/42/28/42/1200x1200/2007831136.jpg?isFirstImage=true,450000.0,65000.0,"Las Cañas - Guaymallén - Mendoza., San José, Mendoza",55.0,55.0,,1.0,1,1.0,12.0,,,,"TRE INMOBILIARIA ALQUILA departamento ubicado sobre calle México 489 - Guaymallén - Mendoza. Ubicación:.gl/9SES7T6SD9qHY6pB8 Superficie cubierta: 55,62 m2. La propiedad se encuentra en planta baja, posee living comedor integrado cocina con amoblamiento completo alacenas y bajo mesada, un dormitorio con placard, baño completo, patio y cochera para un vehículo. En primer piso cuenta con SUM. Se encuentra alquilado hasta 31/10/25. Valor expensas: $ 65.000 incluye agua y luz. Excelente ubicación. A pocos metros de Acceso Este y Universidad Maza. Condiciones de alquiler: No se aceptan mascotas. Contrato por 2 años. Aumentos cuatrimestrales según índice I.C.L.. Requisitos para alquiler: Opción 1 - Solicitante - Inquilino con Bono de Sueldo - Un garante con bono de sueldo - Un garante propietario (propiedades dentro de Mendoza, sin afectaciones como Usufructo, Bien de familia, Hipoteca, Embargo, etc) Opción 2 - Solicitante - Inquilino con Bono de Sueldo - Tres garantes con bono de sueldo. Opción 3 - Solicitante - Inquilino con Bono de Sueldo - Dos garantes propietarios (propiedades dentro de Mendoza, sin afectaciones como Usufructo, Bien de familia, Hipoteca, Embargo, etc) En todos los casos, los bonos de sueldo deberán duplicar el valor del alquiler del inmueble y la persona no debe tener afectación en VERAZ, CODEME, NOSIS.- Costos de ingreso: - Mes de alquiler - Mes de depósito en garantía - Comisión inmobiliaria (valor equivalente a un alquiler) - Certificación de firmas *Contratación de Seguro contra incendio por parte del inquilino.",Las Cañas - Guaymallén - Mendoza.,guaymallen,San José
https://www.zonaprop.com.ar/propiedades/clasificado/alclappa-apartamento-amoblado-3-ambientes-2-dorm.-cochera-52852338.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/52/85/23/38/1200x1200/1893435065.jpg?isFirstImage=true,600000.0,,"12 de Febrero 2972, Sexta Sección, Ciudad de Mendoza",110.0,100.0,3.0,1.0,1,2.0,10.0,Frente,E,Muy luminoso,"Apartamento Amoblado con cochera en complejo cerrado con portón automático en Sexta Sección, a 400m. del Parque Central. Parada de colectivos a 50m y Metro tranvía a 100m. Cercano a bares, restaurantes, farmacias y supermercados. Habitación matrimonial con cama somier, y dormitorio con dos camas individuales, ambos con placares embutidos del piso al techo. Cocina equipada completa, y baño con bañera. Losa radiante y aire acondicionado y TV. Se ingresa con dos meses de depósito, un mes por adelantado, contrato con ajuste trimestral por IPC, firmado por las partes y los garantes a satisfacción del propietario.",12 de Febrero 2972,capital,Sexta Sección
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-duplex-de-2-dorm.-con-cochera-57188659.html,https://imgar.zonapropcdn.com/avisos/resize/1/00/57/18/86/59/1200x1200/2001732106.jpg?isFirstImage=true,550000.0,10000.0,"A Maure , Godoy Cruz, Mendoza",80.0,65.0,4.0,1.0,1,2.0,15.0,,,,"LEAL INMOBILIARIA ""ALQUILA"" Muy lindo Duplex, amplio, cómodo en calle Avelino Maure casi San Martin Sur de Godoy Cruz, en complejo privado. Planta Baja: - Living Comedor; - Cocina independiente con Lavadero; - Patio Planta Alta: - Baño Completo; - 2 Dormitorios con placar, uno de ellos con Balcón. Expensas $ 10.000.- Contrato por 2 años con actualización trimestral por IPC.",A Maure,godoy cruz,
